
2024/05/04 (03:40:39) | ===> btop++ v.1.3.2
2024/05/04 (03:40:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/04 (03:40:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/04 (03:44:35) | ===> btop++ v.1.3.2
2024/05/04 (03:44:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/04 (03:44:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/04 (03:48:52) | ===> btop++ v.1.3.2
2024/05/04 (03:48:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/04 (03:48:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/04 (03:49:00) | ===> btop++ v.1.3.2
2024/05/04 (03:49:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/04 (03:49:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/04 (03:57:28) | ===> btop++ v.1.3.2
2024/05/04 (03:57:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/04 (03:57:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/04 (04:04:39) | ===> btop++ v.1.3.2
2024/05/04 (04:04:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/04 (04:04:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/04 (04:04:57) | ===> btop++ v.1.3.2
2024/05/04 (04:04:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/04 (04:04:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/04 (04:05:01) | ===> btop++ v.1.3.2
2024/05/04 (04:05:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/04 (04:05:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/04 (04:11:15) | ===> btop++ v.1.3.2
2024/05/04 (04:11:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
